name,cuisines,aggregate_rating,rating_text,votes,currency,average_cost_for_two,price_range,locality,locality_verbose,city,zipcode,country_id,latitude,longitude,has_online_delivery,has_table_booking
Zaytinya,"Greek, Mediterranean, Turkish",4.9,Excellent,852,$,70,4,Chinatown,"Chinatown, Washington DC",Washington DC,20001,216,38.8991638000,-77.0238049000,0,0
Old Ebbitt Grill,"American, Breakfast, Seafood",4.8,Excellent,1316,$,150,4,Downtown,"Downtown, Washington DC",Washington DC,20005,216,38.8980140000,-77.0334830000,0,0
Founding Farmers,"American, Breakfast, Desserts",4.7,Excellent,1187,$,150,4,Foggy Bottom/West End,"Foggy Bottom/West End, Washington DC",Washington DC,20006,216,38.9003906000,-77.0445606000,0,0
2Amys,"Italian, Pizza",4.6,Excellent,510,$,30,3,Cleveland Park,"Cleveland Park, Washington DC",Washington DC,20016,216,38.9336530000,-77.0727500000,0,0
Open City,"American, Diner",4.6,Excellent,307,$,25,2,Woodley Park,"Woodley Park, Washington DC",Washington DC,20008,216,38.9236370000,-77.0518310000,0,0
Fogo de Chão,"Brazilian, Steak",4.5,Excellent,548,$,120,4,Downtown,"Downtown, Washington DC",Washington DC,20004,216,38.8949070000,-77.0270830000,0,0
Matchbox,"American, Burger, Pizza",4.5,Excellent,741,$,70,4,Chinatown,"Chinatown, Washington DC",Washington DC,20001,216,38.8999370000,-77.0221590000,0,0
Filomena,Italian,4.5,Excellent,451,$,85,4,Georgetown,"Georgetown, Washington DC",Washington DC,20007,216,38.9045270000,-77.0621610000,0,0
Pizzeria Paradiso,"Italian, Pizza",4.5,Excellent,311,$,45,3,Georgetown,"Georgetown, Washington DC",Washington DC,20007,216,38.9049630000,-77.0655600000,0,0
Bistrot Du Coin,"European, French, Seafood",4.4,Very Good,475,$,150,4,Downtown,"Downtown, Washington DC",Washington DC,20009,216,38.9131590000,-77.0457750000,0,0
Matchbox,"American, Pizza",4.4,Very Good,289,$,95,4,Capitol Hill,"Capitol Hill, Washington DC",Washington DC,20003,216,38.8824440000,-76.9951540000,0,0
Nando's Peri-Peri,"African, Portuguese",4.4,Very Good,231,$,55,4,Chinatown,"Chinatown, Washington DC",Washington DC,20001,216,38.9000700000,-77.0217310000,0,0
Granville Moore's,"European, Bar Food, Belgian",4.4,Very Good,268,$,55,4,Atlas District,"Atlas District, Washington DC",Washington DC,20002,216,38.9003200000,-76.9894370000,0,0
Zorba's Cafe,Greek,4.4,Very Good,210,$,45,3,Downtown,"Downtown, Washington DC",Washington DC,20009,216,38.9113010000,-77.0450750000,0,0
Kramerbooks & Afterwords Cafe,"American, Desserts, Bar Food",4.3,Very Good,526,$,40,3,Dupont Circle,"Dupont Circle, Washington DC",Washington DC,20036,216,38.9105000000,-77.0436240000,0,0
Lauriol Plaza,"Mexican, Spanish, Tex-Mex",4.3,Very Good,567,$,75,4,Downtown,"Downtown, Washington DC",Washington DC,20009,216,38.9153140000,-77.0413600000,0,0
Clyde's of Georgetown,"American, Seafood, Bar Food",4.3,Very Good,321,$,70,4,Georgetown,"Georgetown, Washington DC",Washington DC,20007,216,38.9050130000,-77.0638760000,0,0
Busboys and Poets,American,4.3,Very Good,409,$,75,4,U Street/Shaw,"U Street/Shaw, Washington DC",Washington DC,20009,216,38.9173020000,-77.0317940000,0,0
Oyamel,"Spanish, Tapas",4.3,Very Good,553,$,90,4,Downtown,"Downtown, Washington DC",Washington DC,20004,216,38.8951009000,-77.0216580000,0,0
The Diner,"American, Diner",4.3,Very Good,294,$,25,2,Adams Morgan,"Adams Morgan, Washington DC",Washington DC,20009,216,38.9217390000,-77.0421730000,0,0
Hank's Oyster Bar,"American, Seafood",4.3,Very Good,324,$,150,4,Downtown,"Downtown, Washington DC",Washington DC,20009,216,38.9109630000,-77.0368460000,0,0
Tabard Inn,American,4.3,Very Good,293,$,60,4,Downtown,"Downtown, Washington DC",Washington DC,20036,216,38.9074370000,-77.0399850000,0,0
Pizzeria Paradiso,"Italian, Pizza",4.3,Very Good,273,$,45,3,Downtown,"Downtown, Washington DC",Washington DC,20036,216,38.9097780000,-77.0451380000,0,0
Tryst,"American, Coffee and Tea, Bar Food",4.3,Very Good,193,$,150,4,Adams Morgan,"Adams Morgan, Washington DC",Washington DC,20009,216,38.9218330000,-77.0422020000,0,0
Cactus Cantina,"Latin American, Mexican, Tex-Mex",4.3,Very Good,219,$,75,4,Cleveland Park,"Cleveland Park, Washington DC",Washington DC,20016,216,38.9336390000,-77.0725770000,0,0
Montmartre,"European, French",4.3,Very Good,157,$,70,4,Capitol Hill,"Capitol Hill, Washington DC",Washington DC,20003,216,38.8856100000,-76.9963750000,0,0
Vace Delicatessen,"Italian, Pizza, Sandwich",4.3,Very Good,81,$,25,2,Cleveland Park,"Cleveland Park, Washington DC",Washington DC,20008,216,38.9338120000,-77.0571700000,0,0
Pho 14,"Sandwich, Vietnamese",4.3,Very Good,75,$,75,4,Mt. Pleasant/Columbia Heights,"Mt. Pleasant/Columbia Heights, Washington DC",Washington DC,20010,216,38.9304470000,-77.0334670000,0,0
Clyde's of Gallery Place,"American, Seafood, Bar Food",4.2,Very Good,261,$,65,4,Downtown,"Downtown, Washington DC",Washington DC,20001,216,38.8982810000,-77.0217350000,0,0
Brasserie Beck,"European, Belgian",4.2,Very Good,271,$,150,4,Downtown,"Downtown, Washington DC",Washington DC,20005,216,38.9026370000,-77.0271820000,0,0
Belga Café,"European, Belgian",4.2,Very Good,260,$,150,4,Capitol Hill,"Capitol Hill, Washington DC",Washington DC,20003,216,38.8821283000,-76.9948667000,0,0
Central Michel Richard,"American, French",4.2,Very Good,233,$,150,4,Downtown,"Downtown, Washington DC",Washington DC,20004,216,38.8946810000,-77.0261000000,0,0
Thai Tanic,Thai,4.2,Very Good,156,$,60,4,Logan Circle,"Logan Circle, Washington DC",Washington DC,20005,216,38.9080282000,-77.0321287000,0,0
Busboys and Poets,"American, Mediterranean, Vegetarian",4.2,Very Good,168,$,65,4,Mount Vernon Triangle,"Mount Vernon Triangle, Washington DC",Washington DC,20001,216,38.9031030000,-77.0187510000,0,0
Lebanese Taverna,"Mediterranean, Middle Eastern, Tapas",4.2,Very Good,153,$,45,3,Woodley Park,"Woodley Park, Washington DC",Washington DC,20008,216,38.9250510000,-77.0521740000,0,0
BlackSalt Fish Market & Restaurant,"American, Bar Food, Seafood",4.2,Very Good,123,$,80,4,Palisades,"Palisades, Washington DC",Washington DC,20007,216,38.9181160000,-77.0972980000,0,0
The Tombs,"American, Seafood, Bar Food",4.2,Very Good,139,$,150,4,Georgetown,"Georgetown, Washington DC",Washington DC,20007,216,38.9061020000,-77.0703910000,0,0
Oohhs & Aahhs,"American, Diner, Southern, Soul Food",4.2,Very Good,122,$,85,4,U Street/Shaw,"U Street/Shaw, Washington DC",Washington DC,20001,216,38.9171370000,-77.0262100000,0,0
Mai Thai,"Asian, Sushi, Thai",4.2,Very Good,120,$,75,4,Georgetown,"Georgetown, Washington DC",Washington DC,20007,216,38.9061370000,-77.0647450000,0,0
Et Voila!,"European, Belgian",4.2,Very Good,64,$,75,4,Palisades,"Palisades, Washington DC",Washington DC,20016,216,38.9251640000,-77.1018830000,0,0
Sakana Japanese,Japanese,4.2,Very Good,55,$,75,4,Downtown,"Downtown, Washington DC",Washington DC,20036,216,38.9095630000,-77.0459590000,0,0
Pete's New Haven Style Apizza,"Italian, Pizza",4.2,Very Good,55,$,75,4,Tenleytown,"Tenleytown, Washington DC",Washington DC,20016,216,38.9543720000,-77.0825560000,0,0
Georgia Brown's,"American, Southern, Jamaican",4.1,Very Good,340,$,150,4,Downtown,"Downtown, Washington DC",Washington DC,20005,216,38.9018770000,-77.0347750000,0,0
Le Diplomate,"French, Seafood",4.1,Very Good,180,$,75,4,Logan Circle,"Logan Circle, Washington DC",Washington DC,20005,216,38.9112073000,-77.0318200000,0,0
District of Pi,"Pizza, Italian",4.1,Very Good,140,$,45,3,Downtown,"Downtown, Washington DC",Washington DC,20004,216,38.8972170000,-77.0243110000,0,0
The Capital Grille,"American, Seafood, Steak",4.1,Very Good,147,$,275,4,Downtown,"Downtown, Washington DC",Washington DC,20004,216,38.8929770000,-77.0200070000,0,0
Ming's Restaurant,"Chinese, Japanese, Sushi",4.1,Very Good,171,$,150,4,Chinatown,"Chinatown, Washington DC",Washington DC,20001,216,38.8999400000,-77.0207220000,0,0
Rose's Luxury,French,4.1,Very Good,68,$,38,3,Capitol Hill,"Capitol Hill, Washington DC",Washington DC,20003,216,38.8806390000,-76.9953419000,0,0
Tony Cheng's Restaurant,"Asian, Chinese, Seafood",4.1,Very Good,169,$,150,4,Chinatown,"Chinatown, Washington DC",Washington DC,20001,216,38.8999370000,-77.0203920000,0,0
Kafè Leopold,German,4.1,Very Good,138,$,60,4,Georgetown,"Georgetown, Washington DC",Washington DC,20007,216,38.9046557000,-77.0665517000,0,0
Toki Underground,Asian,4.1,Very Good,113,$,60,4,Atlas District,"Atlas District, Washington DC",Washington DC,20002,216,38.9003180000,-76.9890820000,0,0
Logan Tavern,"American, Bar Food",4.1,Very Good,151,$,75,4,Logan Circle,"Logan Circle, Washington DC",Washington DC,20005,216,38.9098370000,-77.0326220000,0,0
Lincoln Restaurant,American,4.1,Very Good,120,$,75,4,Downtown,"Downtown, Washington DC",Washington DC,20005,216,38.9040190000,-77.0331070000,0,0
Tortilla Cafe,"Latin American, Mexican",4.1,Very Good,123,$,25,2,Capitol Hill,"Capitol Hill, Washington DC",Washington DC,20003,216,38.8871490000,-76.9960230000,0,0
Mandu,"Asian, Korean",4.1,Very Good,109,$,75,4,Downtown,"Downtown, Washington DC",Washington DC,20009,216,38.9143360000,-77.0415230000,0,0
Martin's Tavern,"American, Breakfast, Bar Food",4.1,Very Good,113,$,60,4,Georgetown,"Georgetown, Washington DC",Washington DC,20007,216,38.9063700000,-77.0630720000,0,0
Momiji,"Japanese, Sushi",4.1,Very Good,74,$,50,4,Chinatown,"Chinatown, Washington DC",Washington DC,20001,216,38.8998990000,-77.0190550000,0,0
Tono Sushi,"Japanese, Seafood, Sushi",4.1,Very Good,99,$,75,4,Woodley Park,"Woodley Park, Washington DC",Washington DC,20008,216,38.9237840000,-77.0514680000,0,0
Indique,"Asian, Indian",4.1,Very Good,85,$,75,4,Cleveland Park,"Cleveland Park, Washington DC",Washington DC,20008,216,38.9357860000,-77.0588010000,0,0
Bistro Italiano,Italian,4.1,Very Good,41,$,35,3,Capitol Hill,"Capitol Hill, Washington DC",Washington DC,20002,216,38.8949370000,-77.0016110000,0,0
Spices Asian Restaurant & Sushi Bar,"Asian, Japanese, Sushi",4.1,Very Good,100,$,75,4,Cleveland Park,"Cleveland Park, Washington DC",Washington DC,20008,216,38.9340390000,-77.0572550000,0,0
Panas Gourmet Empanadas,"Latin American, Spanish, Tapas",4.1,Very Good,74,$,25,2,Downtown,"Downtown, Washington DC",Washington DC,20036,216,38.9098230000,-77.0459530000,0,0
Surfside,"Mexican, Seafood, California",4.1,Very Good,95,$,75,4,Glover Park,"Glover Park, Washington DC",Washington DC,20007,216,38.9218970000,-77.0727040000,0,0
El Rinconcito Cafe,"Latin American, Mexican",4.1,Very Good,74,$,35,3,Downtown,"Downtown, Washington DC",Washington DC,20001,216,38.9046990000,-77.0268230000,0,0
Coppi's Organic,"Italian, Pizza",4.1,Very Good,68,$,150,4,Cleveland Park,"Cleveland Park, Washington DC",Washington DC,20008,216,38.9341640000,-77.0572380000,0,0
La Lomita,Mexican,4.1,Very Good,39,$,75,4,Capitol Hill,"Capitol Hill, Washington DC",Washington DC,20003,216,38.8811680000,-76.9869650000,0,0
Rosa Mexicano,Mexican,4.0,Very Good,293,$,150,4,Downtown,"Downtown, Washington DC",Washington DC,20004,216,38.8969380000,-77.0217230000,0,0
The Oceanaire Seafood Room,"American, Desserts, Seafood",4.0,Very Good,175,$,85,4,Downtown,"Downtown, Washington DC",Washington DC,20004,216,38.8974370000,-77.0282880000,0,0
Acadiana,"Seafood, Southern, Cajun",4.0,Very Good,241,$,150,4,Chinatown,"Chinatown, Washington DC",Washington DC,20001,216,38.9022370000,-77.0241750000,0,0
The Hamilton,"American, Seafood, Sushi",3.9,Good,157,$,150,4,Downtown,"Downtown, Washington DC",Washington DC,20005,216,38.8974900000,-77.0321542000,0,0
Daikaya,"Japanese, Ramen",4.0,Very Good,156,$,75,4,Downtown,"Downtown, Washington DC",Washington DC,20001,216,38.8985693000,-77.0195880000,0,0
District Chophouse & Brewery,"Burger, Bar Food, Steak",4.0,Very Good,168,$,75,4,Downtown,"Downtown, Washington DC",Washington DC,20004,216,38.8963210000,-77.0217230000,0,0
Ella's Pizza,"American, Pizza",4.0,Very Good,154,$,75,4,Downtown,"Downtown, Washington DC",Washington DC,20004,216,38.8977157000,-77.0239891000,0,0
The Dubliner,"British, Bar Food, Scottish",4.0,Very Good,155,$,45,3,Capitol Hill,"Capitol Hill, Washington DC",Washington DC,20001,216,38.8971630000,-77.0092540000,0,0
Teaism,"Asian, Indian",4.0,Very Good,155,$,25,2,Downtown,"Downtown, Washington DC",Washington DC,20009,216,38.9127370000,-77.0455600000,0,0
Co Co. Sala,"American, Desserts",4.0,Very Good,159,$,150,4,Downtown,"Downtown, Washington DC",Washington DC,20004,216,38.8975206000,-77.0253534000,0,0
1789 Restaurant,"American, Seafood, Bar Food",4.0,Very Good,155,$,275,4,Georgetown,"Georgetown, Washington DC",Washington DC,20007,216,38.9061780000,-77.0704750000,0,0
Bodega Spanish Tapas & Lounge,"Spanish, Tapas",4.0,Very Good,149,$,55,4,Georgetown,"Georgetown, Washington DC",Washington DC,20007,216,38.9050420000,-77.0615170000,0,0
Vapiano,"Italian, Pizza, American",4.0,Very Good,117,$,65,4,Chinatown,"Chinatown, Washington DC",Washington DC,20001,216,38.8999380000,-77.0207520000,0,0
Komi,Greek,4.0,Very Good,124,$,275,4,Downtown,"Downtown, Washington DC",Washington DC,20036,216,38.9105370000,-77.0383230000,0,0
Vapiano,"Italian, Pizza, American",4.0,Very Good,132,$,65,4,Downtown,"Downtown, Washington DC",Washington DC,20036,216,38.9055630000,-77.0418760000,0,0
Nooshi,"Asian, Sushi",4.0,Very Good,108,$,75,4,Downtown,"Downtown, Washington DC",Washington DC,20036,216,38.9046590000,-77.0436750000,0,0
Meiwah,"Chinese, Sushi",4.0,Very Good,64,$,75,4,Chevy Chase,"Chevy Chase, Washington DC",Washington DC,20815,216,38.9619990000,-77.0877450000,0,0
Paolo's,"European, Italian, Pizza",4.0,Very Good,101,$,75,4,Georgetown,"Georgetown, Washington DC",Washington DC,20007,216,38.9070350000,-77.0629470000,0,0
Tune Inn,"American, Burger, Bar Food",4.0,Very Good,97,$,25,2,Capitol Hill,"Capitol Hill, Washington DC",Washington DC,20003,216,38.8866710000,-77.0015950000,0,0
Ristorante Piccolo,Italian,4.0,Very Good,90,$,150,4,Georgetown,"Georgetown, Washington DC",Washington DC,20007,216,38.9044550000,-77.0613750000,0,0
Agora Restaurant,"Greek, Mediterranean, Turkish",4.0,Very Good,98,$,150,4,Downtown,"Downtown, Washington DC",Washington DC,20036,216,38.9106760000,-77.0381350000,0,0
Acqua Al 2,Italian,4.0,Very Good,99,$,275,4,Capitol Hill,"Capitol Hill, Washington DC",Washington DC,20003,216,38.8871310000,-76.9959800000,0,0
Guapo's,"Mexican, Tex-Mex",4.0,Very Good,91,$,75,4,Tenleytown,"Tenleytown, Washington DC",Washington DC,20016,216,38.9485080000,-77.0798140000,0,0
Afghan Grill,Afghani,4.0,Very Good,74,$,75,4,Woodley Park,"Woodley Park, Washington DC",Washington DC,20008,216,38.9236370000,-77.0510860000,0,0
Kotobuki,"Japanese, Sushi",4.0,Very Good,71,$,75,4,Palisades,"Palisades, Washington DC",Washington DC,20007,216,38.9167060000,-77.0962180000,0,0
Himalayan Heritage Restaurant and Bar,"Indian, Tibetan",4.0,Very Good,72,$,75,4,Adams Morgan,"Adams Morgan, Washington DC",Washington DC,20009,216,38.9198930000,-77.0416620000,0,0
Taqueria Distrito Federal,"Latin American, Mexican",4.0,Very Good,70,$,25,2,Mt. Pleasant/Columbia Heights,"Mt. Pleasant/Columbia Heights, Washington DC",Washington DC,20010,216,38.9340010000,-77.0325230000,0,0
Old Europe,"European, German, Eastern European",4.0,Very Good,57,$,150,4,Glover Park,"Glover Park, Washington DC",Washington DC,20007,216,38.9218640000,-77.0726910000,0,0
Mr. Yogato,Desserts,4.0,Very Good,74,$,25,2,Downtown,"Downtown, Washington DC",Washington DC,20036,216,38.9106050000,-77.0384150000,0,0
7th Hill Pizza,"Italian, Pizza",4.0,Very Good,60,$,75,4,Capitol Hill,"Capitol Hill, Washington DC",Washington DC,20003,216,38.8856200000,-76.9963360000,0,0
Sweetgreen,"American, Healthy Food",4.0,Very Good,62,$,25,2,Georgetown,"Georgetown, Washington DC",Washington DC,20007,216,38.9051590000,-77.0671710000,0,0
La Chaumiere,"European, French",4.0,Very Good,54,$,60,4,Georgetown,"Georgetown, Washington DC",Washington DC,20007,216,38.9054370000,-77.0572240000,0,0
Thomas Sweet,"Coffee and Tea, Desserts",4.0,Very Good,48,$,25,2,Georgetown,"Georgetown, Washington DC",Washington DC,20007,216,38.9091301000,-77.0640421000,0,0
